sample_id,folder,label,family,benign_subtype,label_source,label_version,reviewer_id,reviewed_at,feedback_state,curated_label,label_quality_flag,label_quality_reason,train_eligible,nodes,edges,max_score,attack_steps,injections,c2_conns,verdict,graph_attr,label_signals_top,label_signals_json,signal_behavioural_suspects_found,signal_lolbin_c2_found,signal_ransom_note_found,signal_rwx_injections,signal_hidden_processes,signal_top_suspect_score,signal_triage_confidence,signal_stage_coverage_score,signal_lineage_depth_p95,signal_nonrwx_exec_count,signal_credential_access_count,signal_num_attack_motifs,signal_temporal_chain_count,signal_api_semantic_count,signal_persistence_count,signal_privilege_escalation_count,signal_parent_child_anomaly_count,signal_svchost_lineage_anomaly_count,signal_svchost_cmdline_anomaly_count,signal_dll_trust_anomaly_count,signal_service_orphan_count,signal_lolbin_chain_count,signal_c2_relation_pattern_count,signal_motif_ransom_decryptor_log,signal_motif_tor_tasksvc_log,signal_motif_hex_image_name_log,signal_motif_memory_per_process_log,signal_motif_lolbin_path_log,signal_motif_injection_path_log,signal_motif_persistence_path_log,signal_benign_high_volume_hub_count,signal_rwx_thread_context_count,suspect_zone_pids_count,benign_zone_pids_count,uncertain,uncertain_reason,filter_ok,graph_ok,analyze_ok,error
11,GoldenEye-NoVirus,0,goldeneye,ambiguous_novirus_control,name_inference,v1,,,unreviewed,,True,ambiguous_novirus_control,True,17595,25684,110,4,8,3,HIGH — Multiple malicious behaviours detected,"[102.0, 4.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=29,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 22, ""num_attack_motifs"": 141, ""ransom_note_found"": 0, ""raw_rwx_injections"": 30, ""rwx_injections"": 29, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 102, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,29,0,102,0.99,0.8,4,22,1,141,34,1,6,1,0,0,7,4630,0,0,0,0.0,0.0,0.0,5.16236287251581,0.6931471805599453,2.1972245773362196,1.9459101490553132,0,41,10,1,False,,True,True,True,
12,GoldenEye-WithVirus,1,goldeneye,,name_inference,v1,,,unreviewed,,False,,True,24861,36378,348,4,41,24,HIGH — Multiple malicious behaviours detected,"[342.0, 4.0, 28.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=90,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 5, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 50, ""num_attack_motifs"": 360, ""ransom_note_found"": 0, ""raw_rwx_injections"": 91, ""rwx_injections"": 90, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 342, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,90,0,342,0.99,0.8,5,50,1,360,34,2,15,1,0,0,8,6382,0,0,0,0.0,0.0,0.0,5.163567433209395,1.3862943611198906,3.044522437723423,2.772588722239781,0,290,14,1,False,,True,True,True,
13,InfinityCrypt-NoVirus,0,infinitycrypt,ambiguous_novirus_control,name_inference,v1,,,unreviewed,,True,ambiguous_novirus_control,True,19566,29875,133,3,20,27,HIGH — Multiple malicious behaviours detected,"[125.0, 4.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=40,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 21, ""num_attack_motifs"": 163, ""ransom_note_found"": 0, ""raw_rwx_injections"": 41, ""rwx_injections"": 40, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 125, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,40,0,125,0.99,0.8,4,21,1,163,22,1,7,1,0,0,6,5760,0,0,0,0.0,0.0,0.0,4.905092612484743,0.6931471805599453,3.044522437723423,2.0794415416798357,1,146,10,2,False,,True,True,True,
14,InfinityCrypt-WithVirus,1,infinitycrypt,,name_inference,v1,,,unreviewed,,False,,True,20077,27253,103,3,4,34,HIGH — Multiple malicious behaviours detected,"[95.0, 4.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=26,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 7, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 22, ""num_attack_motifs"": 98, ""ransom_note_found"": 0, ""raw_rwx_injections"": 26, ""rwx_injections"": 26, ""service_boundary_violations"": 1, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 95, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,26,0,95,0.99,0.8,7,22,1,98,23,1,7,1,0,0,7,4091,0,0,0,0.6931471805599453,0.0,0.0,5.150513171779642,1.0986122886681098,1.6094379124341003,2.0794415416798357,0,35,10,0,False,,True,True,True,
15,Locky.AZ-NoVirus,0,locky.az,ambiguous_novirus_control,name_inference,v1,,,unreviewed,,True,ambiguous_novirus_control,True,22387,34450,162,4,17,12,HIGH — Multiple malicious behaviours detected,"[154.0, 4.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=36,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 6, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 21, ""num_attack_motifs"": 115, ""ransom_note_found"": 0, ""raw_rwx_injections"": 38, ""rwx_injections"": 36, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 154, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,36,0,154,0.99,0.8,6,21,1,115,38,2,7,2,0,0,26,6635,0,0,0,0.0,0.0,0.0,4.8139137795909015,0.0,2.833213344056216,2.0794415416798357,1,57,15,1,False,,True,True,True,
16,Locky.AZ-WithVirus,1,locky.az,,name_inference,v1,,,unreviewed,,False,,True,24007,35906,152,3,24,18,HIGH — Multiple malicious behaviours detected,"[144.0, 4.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=64,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 6, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 40, ""num_attack_motifs"": 215, ""ransom_note_found"": 0, ""raw_rwx_injections"": 64, ""rwx_injections"": 64, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 144, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,64,0,144,0.99,0.8,6,40,1,215,39,1,6,2,0,0,36,6529,0,0,0,1.3862943611198906,0.0,0.0,4.832840063381149,0.0,3.044522437723423,1.9459101490553132,1,52,19,0,False,,True,True,True,
17,LuckyLcoker-NoVirus,0,luckylcoker,ambiguous_novirus_control,name_inference,v1,,,unreviewed,,True,ambiguous_novirus_control,True,16262,21039,29,3,12,6,HIGH — Multiple malicious behaviours detected,"[22.0, 3.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=16,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 0, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 14, ""num_attack_motifs"": 168, ""ransom_note_found"": 0, ""raw_rwx_injections"": 26, ""rwx_injections"": 16, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.6, ""temporal_chain_signals"": 0, ""top_suspect_score"": 22, ""triage_confidence"": 0.8907, ""trusted_host_dll_anomalies"": 0}",1,0,0,16,0,22,0.8907,0.6,4,14,0,168,21,0,1,0,0,0,12,2774,0,0,0,0.0,0.0,0.0,5.581684587848543,0.0,2.302585092994046,0.6931471805599453,0,155,11,3,False,,True,True,True,
18,LuckyLcoker-WithVirus,1,luckylcoker,,name_inference,v1,,,unreviewed,,False,,True,16410,21274,37,3,15,7,HIGH — Multiple malicious behaviours detected,"[28.0, 3.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=22,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 0, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 17, ""num_attack_motifs"": 173, ""ransom_note_found"": 0, ""raw_rwx_injections"": 32, ""rwx_injections"": 22, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.6, ""temporal_chain_signals"": 0, ""top_suspect_score"": 28, ""triage_confidence"": 0.9371, ""trusted_host_dll_anomalies"": 0}",1,0,0,22,0,28,0.9371,0.6,4,17,0,173,21,0,2,0,0,0,12,2817,0,0,0,0.0,0.0,0.0,5.573880850082257,0.0,2.5649493574615367,1.0986122886681098,0,164,13,3,False,,True,True,True,
19,PowerLoader-NoVirus,0,powerloader,ambiguous_novirus_control,name_inference,v1,,,unreviewed,,True,ambiguous_novirus_control,True,8623,12961,18,3,6,5,HIGH — Multiple malicious behaviours detected,"[12.0, 3.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=8,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 0, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 6, ""num_attack_motifs"": 105, ""ransom_note_found"": 0, ""raw_rwx_injections"": 12, ""rwx_injections"": 8, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.6, ""temporal_chain_signals"": 0, ""top_suspect_score"": 12, ""triage_confidence"": 0.7112, ""trusted_host_dll_anomalies"": 0}",1,0,0,8,0,12,0.7112,0.6,4,6,0,105,23,0,1,0,0,0,11,2430,0,0,0,0.0,0.0,0.0,4.948192353473037,0.0,1.9459101490553132,0.6931471805599453,0,105,10,2,False,,True,True,True,
20,PowerLoader-WithVirus,1,powerloader,,name_inference,v1,,,unreviewed,,False,,True,7785,11339,18,2,5,1,MEDIUM — Suspicious activity detected,"[12.0, 3.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=4,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 0, ""hidden_processes"": 0, ""lineage_depth_p95"": 2, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 5, ""num_attack_motifs"": 133, ""ransom_note_found"": 0, ""raw_rwx_injections"": 10, ""rwx_injections"": 4, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.6, ""temporal_chain_signals"": 0, ""top_suspect_score"": 12, ""triage_confidence"": 0.7112, ""trusted_host_dll_anomalies"": 0}",1,0,0,4,0,12,0.7112,0.6,2,5,0,133,21,0,1,0,0,0,10,2039,0,0,0,0.0,0.0,0.0,5.04421158962986,0.0,1.6094379124341003,0.6931471805599453,0,133,6,3,False,,True,True,True,
21,RedTail-NoVirus,0,redtail,ambiguous_novirus_control,name_inference,v1,,,unreviewed,,True,ambiguous_novirus_control,True,18477,26822,152,3,18,0,HIGH — Multiple malicious behaviours detected,"[144.0, 2.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=38,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 0, ""hidden_processes"": 0, ""lineage_depth_p95"": 6, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 20, ""num_attack_motifs"": 93, ""ransom_note_found"": 0, ""raw_rwx_injections"": 38, ""rwx_injections"": 38, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.6, ""temporal_chain_signals"": 0, ""top_suspect_score"": 144, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,38,0,144,0.99,0.6,6,20,0,93,74,1,2,1,0,0,40,4701,0,0,0,0.0,0.0,0.0,4.830153314084191,0.0,2.772588722239781,1.0986122886681098,0,72,10,0,False,,True,True,True,
22,RedTail-WithVirus,1,redtail,,name_inference,v1,,,unreviewed,,False,,True,21040,25635,107,3,4,0,HIGH — Multiple malicious behaviours detected,"[99.0, 3.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=27,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 4, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 23, ""num_attack_motifs"": 135, ""ransom_note_found"": 0, ""raw_rwx_injections"": 27, ""rwx_injections"": 27, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 99, ""triage_confidence"": 0.99, ""trusted_host_dll_anomalies"": 0}",1,0,0,27,0,99,0.99,0.8,4,23,1,135,77,1,2,2,0,0,44,2654,0,0,0,0.0,0.0,0.0,4.88778509419381,0.6931471805599453,1.6094379124341003,1.0986122886681098,0,38,8,0,False,,True,True,True,
23,SporaRansomware-NoVirus,0,sporaransomware,ambiguous_novirus_control,name_inference,v1,,,unreviewed,,True,ambiguous_novirus_control,True,20291,29390,45,3,9,54,HIGH — Multiple malicious behaviours detected,"[37.0, 4.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=23,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 7, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 14, ""num_attack_motifs"": 168, ""ransom_note_found"": 0, ""raw_rwx_injections"": 23, ""rwx_injections"": 23, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 37, ""triage_confidence"": 0.9762, ""trusted_host_dll_anomalies"": 0}",1,0,0,23,0,37,0.9762,0.8,7,14,1,168,38,0,8,1,0,0,5,5129,0,0,0,0.0,0.0,0.0,5.233061742475469,0.0,2.1972245773362196,2.1972245773362196,0,121,14,0,False,,True,True,True,
24,SporaRansomware-WithVirus,1,sporaransomware,,name_inference,v1,,,unreviewed,,False,,True,21795,32148,45,3,13,31,HIGH — Multiple malicious behaviours detected,"[37.0, 4.0, 0.0, 0.0, 0.0]",behavioural_suspects_found=1 lolbin_c2_found=0 ransom_note_found=0 rwx_injections=30,"{""behavioural_suspects_found"": 1, ""credential_access_count"": 1, ""hidden_processes"": 0, ""lineage_depth_p95"": 7, ""lolbin_c2_found"": 0, ""nonrwx_exec_count"": 17, ""num_attack_motifs"": 193, ""ransom_note_found"": 0, ""raw_rwx_injections"": 30, ""rwx_injections"": 30, ""service_boundary_violations"": 0, ""stage_coverage_score"": 0.8, ""temporal_chain_signals"": 0, ""top_suspect_score"": 37, ""triage_confidence"": 0.9762, ""trusted_host_dll_anomalies"": 0}",1,0,0,30,0,37,0.9762,0.8,7,17,1,193,37,0,9,1,0,0,8,5809,0,0,0,0.0,0.0,0.0,5.266794781676864,0.0,2.6390573296152584,2.302585092994046,0,113,13,0,False,,True,True,True,
